Evacuation Name,EVACUEES
宮城県仙台市青葉区青葉町,649
宮城県仙台市青葉区あけぼの町,741
宮城県仙台市青葉区旭ケ丘一丁目,2617
宮城県仙台市青葉区旭ケ丘二丁目,2619
宮城県仙台市青葉区旭ケ丘三丁目,1836
宮城県仙台市青葉区旭ケ丘四丁目,2088
宮城県仙台市青葉区荒巻字青葉,1604
宮城県仙台市青葉区荒巻字弘法山,228
宮城県仙台市青葉区荒巻字三居沢,121
宮城県仙台市青葉区荒巻字仁田谷地,42
宮城県仙台市青葉区荒巻神明町,2078
宮城県仙台市青葉区荒巻中央,831
宮城県仙台市青葉区荒巻本沢一丁目,417
宮城県仙台市青葉区荒巻本沢二丁目,518
宮城県仙台市青葉区荒巻本沢三丁目,673
宮城県仙台市青葉区一番町一丁目,2913
宮城県仙台市青葉区一番町二丁目,1554
宮城県仙台市青葉区一番町三丁目,35
宮城県仙台市青葉区一番町四丁目,30
宮城県仙台市青葉区五橋一丁目,1977
宮城県仙台市青葉区五橋二丁目,2489
宮城県仙台市青葉区吉成台一丁目,243
宮城県仙台市青葉区吉成台二丁目,510
宮城県仙台市青葉区高野原一丁目,904
宮城県仙台市青葉区高野原二丁目,660
宮城県仙台市青葉区高野原三丁目,815
宮城県仙台市青葉区高野原四丁目,660
宮城県仙台市青葉区芋沢,3505
宮城県仙台市青葉区梅田町,1315
宮城県仙台市青葉区大倉,665
宮城県仙台市青葉区大手町,997
宮城県仙台市青葉区大町一丁目,110
宮城県仙台市青葉区大町二丁目,2172
宮城県仙台市青葉区霊屋下,1572
宮城県仙台市青葉区小田原四丁目,1418
宮城県仙台市青葉区小田原五丁目,1161
宮城県仙台市青葉区小田原六丁目,1382
宮城県仙台市青葉区小田原七丁目,910
宮城県仙台市青葉区小田原八丁目,2025
宮城県仙台市青葉区折立一丁目,488
宮城県仙台市青葉区折立二丁目,305
宮城県仙台市青葉区折立三丁目,556
宮城県仙台市青葉区折立四丁目,524
宮城県仙台市青葉区折立五丁目,796
宮城県仙台市青葉区折立六丁目,445
宮城県仙台市青葉区貝ケ森一丁目,1023
宮城県仙台市青葉区貝ケ森二丁目,299
宮城県仙台市青葉区貝ケ森三丁目,952
宮城県仙台市青葉区貝ケ森四丁目,650
宮城県仙台市青葉区貝ケ森五丁目,110
宮城県仙台市青葉区貝ケ森六丁目,768
宮城県仙台市青葉区花京院一丁目,1369
宮城県仙台市青葉区花京院二丁目,797
宮城県仙台市青葉区柏木一丁目,3373
宮城県仙台市青葉区柏木二丁目,2795
宮城県仙台市青葉区柏木三丁目,1795
宮城県仙台市青葉区春日町,1635
宮城県仙台市青葉区片平一丁目,1932
宮城県仙台市青葉区片平二丁目,0
宮城県仙台市青葉区花壇,913
宮城県仙台市青葉区上愛子,6058
宮城県仙台市青葉区上杉一丁目,1830
宮城県仙台市青葉区上杉二丁目,2012
宮城県仙台市青葉区上杉三丁目,2227
宮城県仙台市青葉区上杉四丁目,1220
宮城県仙台市青葉区上杉五丁目,1671
宮城県仙台市青葉区上杉六丁目,1825
宮城県仙台市青葉区川内,2
宮城県仙台市青葉区川平一丁目,505
宮城県仙台市青葉区川平二丁目,1151
宮城県仙台市青葉区川平三丁目,2231
宮城県仙台市青葉区川平四丁目,1366
宮城県仙台市青葉区川平五丁目,458
宮城県仙台市青葉区菊田町,480
宮城県仙台市青葉区北根黒松,1018
宮城県仙台市青葉区北根一丁目,1601
宮城県仙台市青葉区北根二丁目,116
宮城県仙台市青葉区北根三丁目,1280
宮城県仙台市青葉区北根四丁目,178
宮城県仙台市青葉区北目町,1350
