小地域コード,小地域,人口総数,世帯総数,総数１５歳未満,総数１５～６４歳,総数６５歳以上,Latitude,Longitude
4101001000,宮城県仙台市青葉区青葉町,649,399,48,413,143,38.2830786,140.8641973
4101002000,宮城県仙台市青葉区あけぼの町,741,419,54,447,209,38.2886097,140.8636908
4101003001,宮城県仙台市青葉区旭ケ丘一丁目,2617,1753,182,1845,407,38.2896766,140.8837733
4101003002,宮城県仙台市青葉区旭ケ丘二丁目,2619,1536,268,1755,504,38.2918433,140.8878029
4101003003,宮城県仙台市青葉区旭ケ丘三丁目,1836,1130,158,1266,308,38.2955599,140.8870555
4101003004,宮城県仙台市青葉区旭ケ丘四丁目,2088,1156,232,1345,452,38.2998824,140.8863892
4101004001,宮城県仙台市青葉区荒巻字青葉,1604,718,62,1250,213,38.2577111,140.8334081
4101004002,宮城県仙台市青葉区荒巻字弘法山,228,100,28,140,52,38.2714031,140.833984
4101004003,宮城県仙台市青葉区荒巻字三居沢,121,3,0,2,119,38.2682608,140.8397943
4101004004,宮城県仙台市青葉区荒巻字仁田谷地,42,6,0,11,31,38.2803265,140.823957
4101005000,宮城県仙台市青葉区荒巻神明町,2078,1241,160,1313,522,38.2870474,140.8597433
4101006000,宮城県仙台市青葉区荒巻中央,831,421,115,533,169,38.2908055,140.8583761
4101007001,宮城県仙台市青葉区荒巻本沢一丁目,417,195,36,275,99,38.2887144,140.8487499
4101007002,宮城県仙台市青葉区荒巻本沢二丁目,518,298,42,320,127,38.2899746,140.8526568
4101007003,宮城県仙台市青葉区荒巻本沢三丁目,673,390,70,440,144,38.2913191,140.8553289
4101008001,宮城県仙台市青葉区一番町一丁目,2913,1728,298,1865,438,38.2568288,140.8731412
4101008002,宮城県仙台市青葉区一番町二丁目,1554,1078,159,948,191,38.2587273,140.8721501
4101008003,宮城県仙台市青葉区一番町三丁目,35,16,2,17,14,38.261146,140.872474
4101008004,宮城県仙台市青葉区一番町四丁目,30,21,0,8,14,38.2639518,140.8716043
4101009001,宮城県仙台市青葉区五橋一丁目,1977,1013,247,1166,438,38.2551121,140.8803828
4101009002,宮城県仙台市青葉区五橋二丁目,2489,1585,218,1611,450,38.2521739,140.8787436
