Name,Address,Capacity
桜丘小学校,仙台市青葉区桜ケ丘8-1-1,6660
中山中学校,仙台市青葉区中山6-16-1,7043
中山小学校,仙台市青葉区中山1-6-1,7903
北仙台中学校,仙台市青葉区東勝山2-31-1,5361
台原小学校,仙台市青葉区台原5-16-1,8480
旭丘小学校,仙台市青葉区旭ケ丘3-27-1,5964
荒巻小学校,仙台市青葉区荒巻神明町21-1,5535
国見小学校,仙台市青葉区国見2-16-1,9472
三条中学校,仙台市青葉区三条町3-1,4048
通町小学校,仙台市青葉区通町1-1-1,5876
小松島小学校,仙台市青葉区小松島2-1-1,6645
八幡小学校,仙台市青葉区八幡2-9-1,8688
木町通小学校,仙台市青葉区木町通1-7-36,7666
上杉山中学校,仙台市青葉区上杉6-7-1,9613
五城中学校,仙台市青葉区東照宮1-3-1,6636
片平丁小学校,仙台市青葉区片平1-7-1,7726
折立小学校,仙台市青葉区折立4-2-1,4558
川平小学校,仙台市青葉区川平3-36-1,6793
東六番丁小学校,仙台市青葉区宮町1-2-1,5757
北六番丁小学校,仙台市青葉区宮町4-4-17,4928
広瀬小学校,仙台市青葉区下愛子字二本松40,8347
広瀬中学校,仙台市青葉区愛子中央1-9-1,15232
上愛子小学校,仙台市青葉区上愛子字白沢14,903
川前小学校,仙台市青葉区芋沢字赤坂16,7015
大沢小学校,仙台市青葉区芋沢字長坂22,4322
大沢中学校,仙台市青葉区赤坂1-2-1,6396
吉成小学校,仙台市青葉区吉成1-12-2,4307
吉成中学校,仙台市青葉区吉成1-12-1,2477
南吉成小学校,仙台市青葉区南吉成5-18-1,7637
第一中学校,仙台市青葉区八幡4-16-1,12145
第二中学校,仙台市青葉区木町通2-4-1,5583
栗生小学校,仙台市青葉区栗生6-6-1,8525
上杉山通小学校,仙台市青葉区上杉1-10-1,14445
北仙台小学校,仙台市青葉区東勝山3-6-1,8229
桜丘中学校,仙台市青葉区桜ケ丘8-2-1,5583
立町小学校,仙台市青葉区立町8-1,2620
五橋中学校,仙台市青葉区五橋2-2-1,13162
台原中学校,仙台市青葉区台原5-19-1,9668
南吉成中学校,仙台市青葉区南吉成5-18-2,4640
折立中学校,仙台市青葉区折立3-19-1,3716
仙台高等学校,仙台市青葉区国見6-52-1,21261
仙台青陵中等教育学校,仙台市青葉区国見ケ丘7-144,11010
東二番丁小学校,仙台市青葉区一番町2-1-4,2605
広陵中学校,仙台市青葉区熊ヶ根字石積1-2,610
愛子小学校,仙台市青葉区上愛子字新宮前1,9413
錦ケ丘小学校,仙台市青葉区錦ケ丘7-28-1,14474
錦ケ丘中学校,仙台市青葉区錦ケ丘1-1-7,11443
幸町小学校,仙台市宮城野区幸町2-19-1,4011
鶴谷中学校,仙台市宮城野区鶴ヶ谷5-24,5268
東仙台中学校,仙台市宮城野区東仙台2-16-1,12219
榴岡小学校,仙台市宮城野区榴ヶ岡103-2,13779
仙台工業高等学校,仙台市宮城野区東宮城野3-1,15025
燕沢小学校,仙台市宮城野区燕沢東3-8-1,6349
新田小学校,仙台市宮城野区新田4-30-1,13261
岩切小学校,仙台市宮城野区岩切字今市東1-2,16014
岩切中学校,仙台市宮城野区岩切字三所南23-2,10574
高砂小学校,仙台市宮城野区福田町1-11-1,5728
福室小学校,仙台市宮城野区福室5-16-1,8125
中野栄小学校,仙台市宮城野区栄3-12-1,6497
岡田小学校,仙台市宮城野区岡田字北在家67,2486
枡江小学校,仙台市宮城野区枡江15-1,2250
鶴巻小学校,仙台市宮城野区鶴巻1-15-1,6083
田子小学校,仙台市宮城野区田子2-1-1,8007
幸町南小学校,仙台市宮城野区幸町5-2-1,3833
宮城野小学校,仙台市宮城野区東宮城野2-1,7252
宮城野中学校,仙台市宮城野区五輪1-4-25,14733
仙台大志高等学校,仙台市宮城野区五輪1-4-10,6288
東華中学校,仙台市宮城野区宮城野2-14-27,7653
東宮城野小学校,仙台市宮城野区東宮城野5-1,2842
原町小学校,仙台市宮城野区原町2-6-1,7800
東仙台小学校,仙台市宮城野区東仙台5-26-1,5668
幸町中学校,仙台市宮城野区幸町1-15-1,7450
西山小学校,仙台市宮城野区燕沢2-23-1,4618
西山中学校,仙台市宮城野区燕沢2-21-1,7431
鶴谷小学校,仙台市宮城野区鶴ケ谷3-17,6867
鶴谷東小学校,仙台市宮城野区鶴ケ谷6-2,2605
中野中学校,仙台市宮城野区中野字高橋前65,9150
田子中学校,仙台市宮城野区田子2-12-1,6488
高砂中学校,仙台市宮城野区白鳥1-32-1,7746
荒町小学校,仙台市若林区荒町86,7163
連坊小路小学校,仙台市若林区連坊1-7-27,7311
大和小学校,仙台市若林区大和町3-16-1,7711
遠見塚小学校,仙台市若林区遠見塚1-22-1,6334
古城小学校,仙台市若林区古城2-1-1,5121
七郷小学校,仙台市若林区荒井3-17-1,12195
沖野小学校,仙台市若林区沖野3-20-1,6142
六郷小学校,仙台市若林区六郷11-11,11011
蒲町小学校,仙台市若林区蒲町41-1,12950
南小泉小学校,仙台市若林区一本杉町17-10,6571
南小泉中学校,仙台市若林区一本杉町2-1,8208
六郷中学校,仙台市若林区六郷13-1,6488
七郷中学校,仙台市若林区荒井8-1-1,9853
沖野中学校,仙台市若林区沖野2-29-50,7209
沖野東小学校,仙台市若林区沖野字高野南89,5343
南材木町小学校,仙台市若林区南材木町84,4470
八軒中学校,仙台市若林区南小泉字八軒小路9-1,7727
若林小学校,仙台市若林区若林4-3-1,4307
蒲町中学校,仙台市若林区蒲町9-1,11295
荒井小学校,仙台市若林区伊在3-2-1,6912
向山小学校,仙台市太白区向山3-19-1,4396
愛宕中学校,仙台市太白区萩ケ丘9-1,2292
大野田小学校,仙台市太白区大野田5丁目27-2,10937
郡山中学校,仙台市太白区郡山5-10-1,12737
八本松小学校,仙台市太白区八本松1-16-1,6216
長町中学校,仙台市太白区鹿野1-8-1,16378
西多賀小学校,仙台市太白区西多賀2-3-1,7163
八木山小学校,仙台市太白区八木山本町1-40-1,8480
八木山南小学校,仙台市太白区八木山南5-3-2,4470
芦口小学校,仙台市太白区芦の口1-1,5150
金剛沢小学校,仙台市太白区金剛沢1-1-1,6838
山田中学校,仙台市太白区山田北前町36-1,5878
太白小学校,仙台市太白区太白1-5-1,2412
生出中学校,仙台市太白区茂庭字中ノ瀬西2-2,555
中田小学校,仙台市太白区中田4-1-1,8288
四郎丸小学校,仙台市太白区四郎丸字吹上6-3,7666
袋原小学校,仙台市太白区中田町字法地南4-2,10996
長町小学校,仙台市太白区長町4-6-1,9916
鹿野小学校,仙台市太白区鹿野2-9-1,6186
上野山小学校,仙台市太白区上野山1-20-1,7267
西多賀中学校,仙台市太白区西多賀3-10-1,6193
袋原中学校,仙台市太白区袋原4-27-1,7450
郡山小学校,仙台市太白区郡山字行新田1-1,3981
茂庭台小学校,仙台市太白区茂庭台4-17-1,2916
馬場小学校,仙台市太白区秋保町馬場字町北25,252
秋保小学校,仙台市太白区秋保町長袋字町15,770
湯元小学校,仙台市太白区秋保町湯向29-3,1110
秋保中学校,仙台市太白区秋保町長袋字大原45-5,1072
