          .	Shelter1	Shelter2	Shelter3	Shelter4	Shelter5	Shelter6	Shelter7	Shelter8	Shelter9	Shelter10	Shelter11	Shelter12	Shelter13	Shelter14	Shelter15	Shelter16	Shelter17	Shelter18	Shelter19	Shelter20	Shelter21	Shelter22	Shelter23	Shelter24	Shelter25	Shelter26	Shelter27
Shelter1	0	8.71	17.86	15.36	19.08	15.36	16.39	8.09	2.73	11.28	13.88	18.83	13.93	13.29	16.05	15.12	14.11	10.77	13.78	13.57	13.84	13.62	16.1	14.51	16.04	16.59	16.8
Shelter2	8.71	0	12.25	9.75	13.47	6.95	10.65	0.97	10.83	5.54	8.22	11.3	6.83	7.63	11.66	12.78	11.73	5.16	5.37	11.31	8.18	6.51	10.49	8.85	10.43	10.98	11.19
Shelter3	17.86	12.25	0	6.08	1.21	8.98	4.52	11.28	19.99	7.13	4.43	7.67	13.16	5.04	5.11	8.12	7.55	7.12	9.42	7.76	4.4	12.44	3.64	3.85	4.08	3.6	3.87
Shelter4	15.36	9.75	6.08	0	7.28	9.86	8.15	8.78	15.59	5.39	4.96	11.27	12.48	4.34	2.74	3.52	2.47	4.62	8.71	2.42	4.63	11.76	3.09	4.69	2.5	3.59	3.26
Shelter5	19.08	13.47	1.21	7.28	0	9.76	5.31	12.49	21.2	8.34	5.65	7.86	13.61	6.25	6.3	9.31	8.74	8.34	10.63	8.96	5.62	13.31	4.84	5.06	5.27	4.79	5.07
Shelter6	15.36	6.95	8.98	9.86	9.76	0	4.65	7.48	17.48	5.16	5.98	4.73	4.9	5.69	11.03	12.9	11.85	7.16	2.49	11.8	6.33	4.2	10.11	6.14	9.78	10.1	10.38
Shelter7	16.39	10.65	4.52	8.15	5.31	4.65	0	9.68	18.52	5.45	3.36	3.51	9.27	4.16	8.81	11.16	10.1	6.68	6.02	10.09	3.73	8.69	7.34	3.61	7.78	7.33	7.61
Shelter8	8.09	0.97	11.28	8.78	12.49	7.48	9.68	0	10.22	4.56	7.25	11.84	8.04	6.66	10.69	11.81	10.76	4.18	5.91	10.34	7.21	7.72	9.52	7.88	9.45	10.01	10.21
Shelter9	2.73	10.83	19.99	15.59	21.2	17.48	18.52	10.22	0	13.4	16	20.96	16.06	15.41	18	15.47	15.47	12.89	15.91	15.74	15.97	15.74	18.23	16.63	18.16	18.72	18.92
Shelter10	11.28	5.54	7.13	5.39	8.34	5.16	5.45	4.56	13.4	0	2.8	7.91	7.11	2.23	7	8.42	7.37	2	3.36	7.32	2.78	6.4	5.76	3.43	5.78	6.25	6.54
