     . 広瀬中	仙台青	蒲町小	長町中	七郷小	南光台	新田小	仙台高	錦ケ丘	上杉山	宮城野	仙台商	岩切小	榴岡小	東長町	富沢小	富沢中	TSSW	TSDA	TSMP	TSTP	TSMN	TSHW	TSMS	TSH1	TSH2	TSH3  EVACUEES
  TTWR .	.	.	2.85	.	.	.	4.80	.	1.65	2.31	.	.	1.47	4.33	.	4.38	1.39	4.37	3.94	1.99	.	3.88	2.46	3.76	4.34	4.49	894
  ZUHO .	.	.	2.30	.	.	.	4.58	.	2.36	3.37	.	.	2.54	4.12	4.54	3.57	1.20	.	3.00	3.03	.	4.03	3.44	3.85	4.53	4.64	60
  OSAK .	2.05	.	.	.	.	.	1.46	.	2.65	.	.	.	4.45	.	.	.	2.06	4.17	.	.	.	.	.	.	.	.	100000
  TDAI .	.	.	2.54	.	.	.	4.82	.	1.93	2.61	.	.	1.78	4.11	4.98	4.03	1.35	4.69	3.57	2.27	.	3.77	2.70	3.63	4.25	4.39	5000
  AERT .	.	.	3.56	.	4.54	4.64	4.84	.	1.20	1.77	.	.	0.93	4.86	.	.	1.75	3.70	4.72	1.50	.	4.22	2.06	4.13	4.64	4.81	584
  TEPC .	4.81	.	3.86	.	4.33	4.78	4.47	.	0.78	2.04	.	.	1.25	.	.	.	1.58	3.36	4.92	1.82	.	4.64	2.40	4.54	.	.	12500
  SIPO .	.	.	.	.	.	.	.	.	.	.	3.68	.	.	.	.	.	.	.	.	.	4.29	.	.	.	.	.	1653
  MEDI .	3.88	.	3.89	.	4.99	.	3.45	.	0.99	3.21	.	.	2.39	.	.	.	0.57	3.65	4.54	2.97	.	.	3.53	.	.	.	346
  SSTA .	.	4.83	3.35	.	4.71	4.60	.	.	1.47	1.66	.	.	0.81	4.61	.	4.96	1.87	3.94	4.58	1.36	.	3.95	1.90	3.86	4.37	4.54	75608
  AQUA .	.	.	.	.	.	4.97	.	.	.	.	.	4.19	.	.	.	.	.	.	.	.	.	.	.	.	.	.	913
  MOPS .	.	.	.	.	.	.	.	.	.	.	.	5.09	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10000
  YURT .	.	.	.	.	2.70	.	.	.	.	.	1.03	.	.	.	.	.	.	2.58	.	.	0.49	.	.	.	.	.	11467
  CAST .	4.51	.	2.90	.	.	.	3.87	.	2.68	4.27	.	.	3.42	4.85	4.72	3.77	1.15	.	3.01	3.95	.	4.95	4.41	4.76	.	.	87
  RAKU .	.	2.96	3.98	4.13	4.78	3.19	.	.	3.13	0.68	.	.	1.21	4.39	.	.	3.79	4.74	.	0.67	.	3.24	0.13	3.27	3.48	3.68	27000
  TLSW 9.36	4.01	6.62	3.51	7.86	5.56	6.33	3.49	9.50	1.55	3.51	7.02	8.45	2.66	5.30	5.65	4.69	0.00	4.21	4.02	3.24	6.61	5.10	3.77	4.95	5.59	5.72   999999
  TLDA .	4.38	7.45	7.22	8.38	1.86	4.90	4.57	.	2.80	4.08	3.21	5.62	3.91	8.53	9.66	8.71	4.23	0.00	8.16	4.17	2.66	7.74	4.63	7.69	8.09	8.28   999999
  TLMP .	7.36	7.04	1.70	8.21	9.21	8.68	6.67	9.68	5.35	5.76	.	.	5.11	3.11	1.75	0.89	4.02	8.13	0.00	5.41	.	4.03	5.60	3.80	4.45	4.45   999999
  TLTP .	6.56	3.63	3.96	4.79	4.38	3.37	6.26	.	2.47	0.36	7.35	5.98	0.58	4.66	6.50	5.66	3.23	4.16	5.47	0.00	6.78	3.64	0.58	3.64	3.95	4.14   999999
  TLMN .	5.20	9.87	9.82	.	3.07	6.79	5.70	.	5.35	6.67	0.62	6.40	6.57	.	.	.	6.62	2.66	.	6.80	0.00	.	7.22	.	.	.   999999
  TLHW .	9.02	3.23	2.47	4.29	8.01	5.98	8.50	.	5.38	3.86	.	8.86	3.81	1.38	4.04	3.62	5.05	7.72	4.03	3.64	.	0.00	3.37	0.23	0.50	0.62   999999
  TLMS .	7.13	3.05	4.07	4.20	4.65	3.12	6.83	.	3.05	0.55	7.77	5.86	1.14	4.51	6.56	5.77	3.76	4.61	5.66	0.58	7.19	3.37	0.00	3.40	3.62	3.81   999999
  TLH1 .	8.88	3.43	2.24	4.50	8.02	6.09	8.35	.	5.29	3.87	.	8.96	3.78	1.23	3.84	3.40	4.90	7.68	3.80	3.64	.	0.23	3.40	0.00	0.71	0.79   999999
  TLH2 .	9.49	3.02	2.94	3.99	8.27	6.04	8.98	.	5.80	4.13	.	8.92	4.17	1.59	4.32	3.98	5.53	8.07	4.45	3.95	.	0.50	3.62	0.71	0.00	0.20   999999
  TLH3 .	9.63	3.16	2.97	4.09	8.46	6.23	9.11	.	5.97	4.33	.	9.10	4.35	1.50	4.23	3.94	5.66	8.25	4.44	4.14	.	0.62	3.81	0.79	0.20	0.00   999999
VACANCIES 152320 149550 129500 163780 121950 132610 21261 104640 14474 14445 14733 24328 16014 13779 12595 15111 18578 999999 999999 999999 999999 999999 999999 999999 999999 999999 999999 0
